id,Title,URL
673,Should bower link install linked packages dependencies?,https://github.com/bower/bower/issues/673
656,Git via HTTP without workaround,https://github.com/bower/bower/issues/656
637,Different renderer for install and update commands,https://github.com/bower/bower/issues/637
634,Add a `bower mirror` option,https://github.com/bower/bower/issues/634
596,Make bower multi process compatible,https://github.com/bower/bower/issues/596
585,Overrides,https://github.com/bower/bower/issues/585
579,Next-gen Bower 'register' and 'publish' commands,https://github.com/bower/bower/issues/579
578,Implement version constrain system,https://github.com/bower/bower/issues/578
572,Detect when there is no internet connection and auto-enable offline mode,https://github.com/bower/bower/issues/572
561,bower install <URL> maps file name to index.js,https://github.com/bower/bower/issues/561
557,Is overriding the shorthand safe?,https://github.com/bower/bower/issues/557
549,Changelog feature request,https://github.com/bower/bower/issues/549
547,ignore property should exclude main files,https://github.com/bower/bower/issues/547
523,Ability to specify package directories,https://github.com/bower/bower/issues/523
518,"Show last version available in ""bower search""",https://github.com/bower/bower/issues/518
513,Lookup by URL,https://github.com/bower/bower/issues/513
505,Implement 'shrinkwrap' feature,https://github.com/bower/bower/issues/505
504,Replace msysgit with libgit2 or js-git,https://github.com/bower/bower/issues/504
393,`main` property in bower.json,https://github.com/bower/bower/issues/393
342,Add support for a local endpoint registry,https://github.com/bower/bower/issues/342
333,How to deal with conditional dependencies?,https://github.com/bower/bower/issues/333
312,Installing angular.js causes stack overflow on node v0.10.0,https://github.com/bower/bower/issues/312
296,Negated glob patterns not working (would be useful for 'ignore' option),https://github.com/bower/bower/issues/296
281,Docs - Tell developers not to add version in packaged files,https://github.com/bower/bower/issues/281
260,Add support for Yeoman Insight,https://github.com/bower/bower/issues/260
249,postinstall script (and others),https://github.com/bower/bower/issues/249
706,Make name optional in bower.json,https://github.com/bower/bower/issues/706
702,Custom package name not respected by dependencies,https://github.com/bower/bower/issues/702
694,Inform the user of missing properties in bower.json,https://github.com/bower/bower/issues/694
678,Log as 'debug' when a symlink is filtered,https://github.com/bower/bower/issues/678
673,Should bower link install linked packages dependencies?,https://github.com/bower/bower/issues/673
656,Git via HTTP without workaround,https://github.com/bower/bower/issues/656
637,Different renderer for install and update commands,https://github.com/bower/bower/issues/637
634,Add a `bower mirror` option,https://github.com/bower/bower/issues/634
596,Make bower multi process compatible,https://github.com/bower/bower/issues/596
585,Overrides,https://github.com/bower/bower/issues/585
579,Next-gen Bower 'register' and 'publish' commands,https://github.com/bower/bower/issues/579
578,Implement version constrain system,https://github.com/bower/bower/issues/578
572,Detect when there is no internet connection and auto-enable offline mode,https://github.com/bower/bower/issues/572
561,bower install <URL> maps file name to index.js,https://github.com/bower/bower/issues/561
557,Is overriding the shorthand safe?,https://github.com/bower/bower/issues/557
549,Changelog feature request,https://github.com/bower/bower/issues/549
547,ignore property should exclude main files,https://github.com/bower/bower/issues/547
523,Ability to specify package directories,https://github.com/bower/bower/issues/523
518,"Show last version available in ""bower search""",https://github.com/bower/bower/issues/518
513,Lookup by URL,https://github.com/bower/bower/issues/513
505,Implement 'shrinkwrap' feature,https://github.com/bower/bower/issues/505
504,Replace msysgit with libgit2 or js-git,https://github.com/bower/bower/issues/504
393,`main` property in bower.json,https://github.com/bower/bower/issues/393
342,Add support for a local endpoint registry,https://github.com/bower/bower/issues/342
333,How to deal with conditional dependencies?,https://github.com/bower/bower/issues/333
312,Installing angular.js causes stack overflow on node v0.10.0,https://github.com/bower/bower/issues/312
296,Negated glob patterns not working (would be useful for 'ignore' option),https://github.com/bower/bower/issues/296
281,Docs - Tell developers not to add version in packaged files,https://github.com/bower/bower/issues/281
260,Add support for Yeoman Insight,https://github.com/bower/bower/issues/260
249,postinstall script (and others),https://github.com/bower/bower/issues/249
706,Make name optional in bower.json,https://github.com/bower/bower/issues/706
702,Custom package name not respected by dependencies,https://github.com/bower/bower/issues/702
694,Inform the user of missing properties in bower.json,https://github.com/bower/bower/issues/694
678,Log as 'debug' when a symlink is filtered,https://github.com/bower/bower/issues/678
673,Should bower link install linked packages dependencies?,https://github.com/bower/bower/issues/673
656,Git via HTTP without workaround,https://github.com/bower/bower/issues/656
637,Different renderer for install and update commands,https://github.com/bower/bower/issues/637
634,Add a `bower mirror` option,https://github.com/bower/bower/issues/634
