Id,Label,uid,lname,Component ID,Eigenvector Centrality,Degree,Clustering Coefficient,Number of triangles,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank
1272,Rachel,-267Yx8RmdP6io2-qI4UcQ,G.,0,0.040028136,1,0,0,4,3.454113924,0,4.71E-04,4.71E-04,9,4.02E-04
1273,Jen,WT1kawqQ43mXUNS2xL3Iyg,C.,0,0.040028136,1,0,0,4,3.454113924,0,4.71E-04,4.71E-04,9,4.02E-04
1274,Kriss,HipNu3vK_MSJ-IIGsKFbfg,P.,0,0.040028136,1,0,0,4,3.454113924,0,4.71E-04,4.71E-04,9,4.02E-04
1275,Debra,U0WU9d6gpMNkO_tPXK58Sg,W.,0,0.040028136,1,0,0,4,3.454113924,0,4.71E-04,4.71E-04,9,4.02E-04
1276,Laura,VhKOvBIOEyEB8Ig3f7adcQ,D.,0,0.040028136,1,0,0,4,3.454113924,0,4.71E-04,4.71E-04,9,4.02E-04
1277,Sarah,o2P82pKDbMP890V-ztKMaA,B.,0,0.040028136,1,0,0,4,3.454113924,0,4.71E-04,4.71E-04,9,4.02E-04
1278,Lisa,q-v8elVPvKz0KvK69QSj1Q,Marie,0,0.040028136,1,0,0,4,3.454113924,0,4.71E-04,4.71E-04,9,4.02E-04
1279,Dung,LMPWMy_kvHjlUzVQ_9jz6A,N.,0,0.040028136,1,0,0,4,3.454113924,0,4.71E-04,4.71E-04,9,4.02E-04
1280,Katherine,z4RytucxI_XfcMFaEI2DRg,O.,0,0.040028136,1,0,0,4,3.454113924,0,4.71E-04,4.71E-04,9,4.02E-04
1283,Robin,sIz02nAyQIrDtFavxZtfTQ,Z.,0,0.040028136,1,0,0,4,3.454113924,0,4.71E-04,4.71E-04,9,4.02E-04
1284,Karlie,yFOhA0a7toBwUffjC68FrA,M.,0,0.040028136,1,0,0,4,3.454113924,0,4.71E-04,4.71E-04,9,4.02E-04
1285,Lyna,#NAME?,V.,0,0.040028136,1,0,0,4,3.454113924,0,4.71E-04,4.71E-04,9,4.02E-04
1286,Mollie,uW2Jmi4vgVf_hJuBSdeC4Q,E.,0,0.040028136,1,0,0,4,3.454113924,0,4.71E-04,4.71E-04,9,4.02E-04
1287,Elysse,_KDforIDsQS6bIaJi0_V0g,P.,0,0.040028136,1,0,0,4,3.454113924,0,4.71E-04,4.71E-04,9,4.02E-04
1288,Valerie,sTyvPtWrEeqNcbmLcHclGw,L.,0,0.040028136,1,0,0,4,3.454113924,0,4.71E-04,4.71E-04,9,4.02E-04
1289,Antoine,uXd-tA7nboj-9nV0vLTh8g,D.,0,0.040028136,1,0,0,4,3.454113924,0,4.71E-04,4.71E-04,9,4.02E-04
1290,Angie,nA-wXfcIC5FgTK1aSCdkHQ,R.,0,0.040028136,1,0,0,4,3.454113924,0,4.71E-04,4.71E-04,9,4.02E-04
1291,Kellie,q5afJ8gTV5TPEOkzyeJ_WQ,A.,0,0.040028136,1,0,0,4,3.454113924,0,4.71E-04,4.71E-04,9,4.02E-04
1292,Peter,fZY97UjlP-iv35beOl_OfQ,S.,0,0.040028136,1,0,0,4,3.454113924,0,4.71E-04,4.71E-04,9,4.02E-04
1293,Helen,9HOS6A3IeAW1YB68e88FFQ,C.,0,0.040028136,1,0,0,4,3.454113924,0,4.71E-04,4.71E-04,9,4.02E-04
1294,Megan,0V4Ra6jCmSAgFtCiORr4QA,C.,0,0.040028136,1,0,0,4,3.454113924,0,4.71E-04,4.71E-04,9,4.02E-04
1295,Ceci,YSzK2mvfAMLl5NsE-4waZw,Y.,0,0.040028136,1,0,0,4,3.454113924,0,4.71E-04,4.71E-04,9,4.02E-04
1296,Michelle,bW2AQqcSPascYvKXsF0S-g,W.,0,0.040028136,1,0,0,4,3.454113924,0,4.71E-04,4.71E-04,9,4.02E-04
1297,Elaine,33OzyvMjDhGTUJubr4CWIA,N.,0,0.040028136,1,0,0,4,3.454113924,0,4.71E-04,4.71E-04,9,4.02E-04
1298,Nina,oVfnZ8K2HISGg40-CJ37GQ,U.,0,0.040028136,1,0,0,4,3.454113924,0,4.71E-04,4.71E-04,9,4.02E-04
1299,Kim,_v7O-aBWnQkWBIy4Y0DaCg,P.,0,0.040028136,1,0,0,4,3.454113924,0,4.71E-04,4.71E-04,9,4.02E-04
1300,Philip,8DEyKVyplnOcSKx39vatbg,T.,0,0.040028136,1,0,0,4,3.454113924,0,4.71E-04,4.71E-04,9,4.02E-04
1301,Pam,puS8HuNdeXhhl5F4bb0EEg,S.,0,0.040028136,1,0,0,4,3.454113924,0,4.71E-04,4.71E-04,9,4.02E-04
1302,Anthony,v3YOx9T4jRSw8XP9Rd9H4g,G.,0,0.040028136,1,0,0,4,3.454113924,0,4.71E-04,4.71E-04,9,4.02E-04
1303,Nik,dsaj_eA71FvpUh49zzKcGA,O.,0,0.040028136,1,0,0,4,3.454113924,0,4.71E-04,4.71E-04,9,4.02E-04
1304,Amy,s1kbaGxgMFUOeOy7_Jq4zg,S.,0,0.040028136,1,0,0,4,3.454113924,0,4.71E-04,4.71E-04,9,4.02E-04
1306,Nick,1rBGQRHsAIGF-iv4Sw0zVw,H.,0,0.002191655,1,0,0,5,4.024525316,0,4.71E-04,4.71E-04,11,4.36E-04
1307,Alisa,fwtMzJTLO22JMuSMrh1Fxw,C.,0,0.002191655,1,0,0,5,4.024525316,0,4.71E-04,4.71E-04,11,4.36E-04
1314,Andy,Y8O0dlUOU43qpzz6soRaRg,D.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1317,Di,utXjbDFcryC_tDDA2fQoYQ,R.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1321,AKA,DBvQvSt0cCxst4NkzEUtyA,Matthew,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
1322,Dave,U2sN2-HGvh27FyXKFlvkBg,B.,0,0.051717175,1,0,0,4,3.352056962,0,4.71E-04,4.71E-04,6,3.65E-04
