Source,Target,Type,Id,Label,Weight
Nadia_Mavrakis_7938038,Sagar_Bhadra_10503828,Undirected,64,,1
Nadia_Mavrakis_7938038,Karim_Traboulsi_13621246,Undirected,65,,1
Nadia_Mavrakis_7938038,Sally_G_21010151,Undirected,66,,1
Nadia_Mavrakis_7938038,Muzi_Guo_21012401,Undirected,67,,1
Nadia_Mavrakis_7938038,Jennifer_Law_21014079,Undirected,68,,1
Nadia_Mavrakis_7938038,Florian_Striebich_36800961,Undirected,69,,1
Nadia_Mavrakis_7938038,Laura_Buhler_120601075,Undirected,70,,1
Nadia_Mavrakis_7938038,Julien_Kervizic_500985020,Undirected,71,,1
Nadia_Mavrakis_7938038,Daniela_Sh_506567418,Undirected,72,,1
Nadia_Mavrakis_7938038,Rab_Freiha_509987108,Undirected,73,,1
Nadia_Mavrakis_7938038,Kitty_L_510810710,Undirected,74,,1
Nadia_Mavrakis_7938038,Itzel_Ram????rez_M._511465260,Undirected,75,,1
Nadia_Mavrakis_7938038,Michael_Schuster_527059194,Undirected,76,,1
Nadia_Mavrakis_7938038,Petra_Szal????ky_551565782,Undirected,77,,1
Nadia_Mavrakis_7938038,Ulf_Bachmann_553857610,Undirected,78,,1
Nadia_Mavrakis_7938038,Isabella_Reichert_565243166,Undirected,79,,1
Nadia_Mavrakis_7938038,Mario_Razzini_569260526,Undirected,80,,1
Nadia_Mavrakis_7938038,Andreas_Enkelmann_614284101,Undirected,81,,1
Nadia_Mavrakis_7938038,S????ndor_Erdei_676315506,Undirected,82,,1
Nadia_Mavrakis_7938038,Beatrice_Lizana_689562026,Undirected,83,,1
Nadia_Mavrakis_7938038,Carlos_Toledo_708720226,Undirected,84,,1
Nadia_Mavrakis_7938038,Julien_Santini_763498095,Undirected,85,,1
Nadia_Mavrakis_7938038,Vaclav_Sedlacek_1078584864,Undirected,821,,1
Nadia_Mavrakis_7938038,Grace_Ga-Eun_Oh_1339907315,Undirected,938,,1
Hyekyung_Jung_8650136,Kion_Hur_100000574702295,Undirected,1327,,1
Hyekyung_Jung_8650136,???????????????????€?_100001566019857,Undirected,1805,,1
Hyekyung_Jung_8650136,Yohan_Shin_100001751419123,Undirected,2016,,1
Hyekyung_Jung_8650136,Sung_Mee__Hong_100003527681271,Undirected,2644,,1
Zhewei_Zhang_9223366,Steven_L._Johnson_5734569,Undirected,15,,1
Zhewei_Zhang_9223366,Paul_A._Pavlou_6316982,Undirected,26,,1
Zhewei_Zhang_9223366,Gord_Burtch_510235429,Undirected,86,,1
Zhewei_Zhang_9223366,Yang_Yang_546678299,Undirected,87,,1
Zhewei_Zhang_9223366,Karen_Lijia_Xie_601432711,Undirected,88,,1
Zhewei_Zhang_9223366,Douglas_M._Schutz_647390973,Undirected,89,,1
Zhewei_Zhang_9223366,Sunil_Wattal_672024677,Undirected,90,,1
Zhewei_Zhang_9223366,Youngjin_Yoo_683448383,Undirected,91,,1
Zhewei_Zhang_9223366,Yohan_Choi_743443268,Undirected,92,,1
Zhewei_Zhang_9223366,Rui_Zhang_799590129,Undirected,577,,1
Zhewei_Zhang_9223366,Kevin_Yili_Hong_1050352559,Undirected,789,,1
